EmpID,BiasInfluentialFactor,FitmentPercent
3951,DegreeBranch,91.884995
19597,YearsOfExperince,76.39232
21097,HighestDegree,77.606285
7022,Ethinicity,83.714516
4812,EmpScore,53.019073
13103,DegreeBranch,90.11272
17395,DegreeBranch,92.75442
2363,DegreeBranch,89.04271
6311,DegreeBranch,74.264404
16964,DegreeBranch,79.73404
10553,Gender,77.88463
19740,DegreeBranch,76.785866
5133,CurrentCompanyType,59.496777
22171,YearsOfExperince,85.7122
20617,DegreeBranch,83.72091
6662,Gender,86.38364
23903,Gender,75.88212
18027,CurrentCompanyType,53.864044
10298,MartialStatus,78.49415
21972,CurrentCompanyType,60.355328
11690,Gender,73.73357
16309,YearsOfExperince,80.817
20202,EmpScore,71.87642
22074,DegreeBranch,72.28012
6309,DegreeBranch,79.46118
13662,CurrentCompanyType,49.13203
4078,Gender,78.47058
15188,CurrentCompanyType,54.51509
15476,CurrentCompanyType,48.176186
8200,MartialStatus,50.06006
19412,DegreeBranch,79.31501
14712,HighestDegree,82.680695
3415,LatestDegreeCGPA,59.47416
5453,DegreeBranch,76.212395
15238,Gender,85.14653
19323,HighestDegree,89.81305
23188,DegreeBranch,79.91962
6591,EmpScore,89.4888
12101,DegreeBranch,84.0459
17146,Gender,81.037155
9146,HighestDegree,49.367683
22775,Ethinicity,81.54824
13751,DegreeBranch,83.06034
11226,Gender,72.87898
3850,Gender,85.64321
14997,HighestDegree,54.756554
22434,CurrentCompanyType,53.258236
5269,Gender,83.78579
13380,EmpScore,73.25523
22670,HighestDegree,81.01953
15129,Gender,73.31283
6112,YearsOfExperince,54.26017
19858,MartialStatus,84.324554
3195,DegreeBranch,76.81002
15081,CurrentCompanyType,56.37472
12625,CurrentCompanyType,50.10008
2394,EmpScore,58.143913
11722,EmpScore,83.90087
10487,CurrentCompanyType,52.44421
6716,CurrentCompanyType,57.058365
21686,Gender,81.26197
23385,YearsOfExperince,80.83935
20061,CurrentCompanyType,43.21079
13274,YearsOfExperince,73.66827
6434,EmpScore,93.813446
11018,YearsOfExperince,84.19223
7633,MartialStatus,57.154037
3647,EmpScore,96.14008
8764,YearsOfExperince,84.036674
5462,EmpScore,76.71481
5482,YearsOfExperince,77.441635
10636,EmpScore,90.95685
13206,MartialStatus,89.86996
5099,EmpScore,54.45912
10010,DegreeBranch,76.52497
6082,EmpScore,79.100586
13048,MartialStatus,81.617195
19864,Gender,70.51852
11227,YearsOfExperince,51.52487
4186,DegreeBranch,76.148186
4195,DegreeBranch,81.98834
15060,Gender,79.58923
11001,Gender,79.629944
2340,DegreeBranch,77.70153
22965,DegreeBranch,75.99707
5148,YearsOfExperince,82.68787
13601,DegreeBranch,90.98336
9076,DegreeBranch,79.572044
20026,YearsOfExperince,80.51062
16062,DegreeBranch,83.390564
16983,DegreeBranch,79.51057
4603,CurrentCompanyType,64.04579
23344,Gender,83.53964
8109,CurrentCompanyType,55.561737
14277,Gender,84.03818
12639,EmpScore,83.803085
24128,Gender,82.29865
15262,YearsOfExperince,73.7252
11037,DegreeBranch,80.776535
8586,CurrentCompanyType,60.64326
18481,DegreeBranch,82.939415
11232,LatestDegreeCGPA,65.72262
12038,YearsOfExperince,83.18947
5802,CurrentCompanyType,60.60088
8631,EmpScore,55.417225
13476,YearsOfExperince,75.12624
13947,CurrentCompanyType,50.877934
16601,DegreeBranch,81.25117
6751,CurrentCompanyType,45.32317
16303,Ethinicity,88.832016
12486,CurrentCompanyType,83.83076
19548,Gender,84.92347
6731,Gender,76.8374
5410,YearsOfExperince,87.77142
7365,YearsOfExperince,78.1252
14636,Gender,77.1338
15825,CurrentCompanyType,51.23288
18432,EmpScore,94.425705
8161,DegreeBranch,75.275635
9168,Ethinicity,79.10613
5368,DegreeBranch,77.834694
16755,Gender,83.741714
14554,DegreeBranch,84.17238
2859,Gender,77.17743
11652,Gender,80.43256
2715,Gender,81.099
17972,CurrentCompanyType,52.704773
14439,YearsOfExperince,82.34396
7135,MartialStatus,47.63272
9082,DegreeBranch,86.9911
6327,YearsOfExperince,80.24423
20135,YearsOfExperince,77.487816
9598,Gender,78.77169
9479,DegreeBranch,83.70318
8531,EmpScore,57.413513
17576,CurrentCompanyType,55.596806
7868,Gender,76.52144
4704,Gender,83.58873
2227,Gender,89.98378
12599,EmpScore,78.770546
20120,YearsOfExperince,83.97802
22992,MartialStatus,56.023693
11003,CurrentCompanyType,48.03607
12372,Gender,80.97621
8545,DegreeBranch,73.757576
2197,CurrentCompanyType,47.692463
20102,EmpScore,77.128525
19447,YearsOfExperince,87.41608
12226,DegreeBranch,83.06197
22898,Gender,77.514046
21509,DegreeBranch,80.523285
19625,Gender,80.400505
9993,Gender,78.14129
12900,DegreeBranch,77.79522
11775,Ethinicity,75.54109
21533,YearsOfExperince,85.20192
6712,Gender,78.48654
2667,EmpScore,92.48522
11924,DegreeBranch,80.19418
12068,Gender,87.428825
6016,Gender,79.41655
21718,EmpScore,63.13828
6832,CurrentCompanyType,60.353905
9444,EmpScore,89.77379
21789,Gender,88.382034
12651,DegreeBranch,79.47981
5438,Gender,78.59901
17094,CurrentCompanyType,59.39596
2467,CurrentCompanyType,56.29685
3295,Gender,85.80373
2298,MartialStatus,86.14798
9374,YearsOfExperince,84.2955
8325,YearsOfExperince,94.548294
20077,CurrentCompanyType,56.605087
9976,Gender,82.635185
20755,YearsOfExperince,77.26808
8582,Ethinicity,85.66117
17002,Gender,78.9296
14742,EmpScore,88.163895
6849,CurrentCompanyType,86.64983
23690,HighestDegree,83.76534
2723,CurrentCompanyType,49.9803
23389,Gender,78.59805
4551,Gender,83.465485
24155,DegreeBranch,83.47893
17986,CurrentCompanyType,54.715378
3173,YearsOfExperince,76.14011
4753,YearsOfExperince,84.83748
6047,YearsOfExperince,81.83905
12630,DegreeBranch,85.12243
8896,Gender,77.6584
17455,HighestDegree,78.41946
10654,CurrentCompanyType,52.582413
20375,CurrentCompanyType,79.60108
16180,Ethinicity,77.673225
24323,CurrentCompanyType,46.40083
17430,DegreeBranch,86.2551
10603,Ethinicity,84.7409
23431,Gender,77.728775
23339,DegreeBranch,90.77586
19068,DegreeBranch,81.36525
8797,DegreeBranch,97.83391
11220,YearsOfExperince,77.4746
20244,Gender,73.38793
15150,CurrentCompanyType,39.636673
2145,YearsOfExperince,82.55432
2643,EmpScore,91.42962
19659,CurrentCompanyType,48.070488
22395,CurrentCompanyType,61.987194
16986,CurrentCompanyType,60.958538
2938,Gender,77.630905
23372,Gender,80.91055
7675,Gender,79.912865
12534,HighestDegree,90.61134
22145,Gender,76.22206
22403,DegreeBranch,77.021706
8865,HighestDegree,76.26887
16766,MartialStatus,53.23953
14573,HighestDegree,72.17222
17938,CurrentCompanyType,90.97016
20913,DegreeBranch,86.623505
2707,DegreeBranch,83.98867
10035,Ethinicity,73.71358
2342,HighestDegree,90.35037
18984,CurrentCompanyType,48.04113
10572,EmpScore,92.55538
14851,CurrentCompanyType,49.838207
2644,YearsOfExperince,84.38029
23598,DegreeBranch,78.63323
5695,Gender,78.12509
8049,Gender,84.892204
2907,Gender,76.818085
17672,YearsOfExperince,59.54432
23746,YearsOfExperince,75.97071
18424,CurrentCompanyType,55.84913
20530,EmpScore,85.9169
14918,EmpScore,82.4934
9320,CurrentCompanyType,57.56395
3024,HighestDegree,79.77158
8489,EmpScore,57.221863
16070,DegreeBranch,81.8165
7289,DegreeBranch,65.40478
7789,EmpScore,92.87347
12493,Gender,79.87482
10076,HighestDegree,54.90223
22870,HighestDegree,51.220676
18113,DegreeBranch,87.66395
14232,Ethinicity,82.77318
18076,HighestDegree,77.80103
19544,YearsOfExperince,84.76141
2470,DegreeBranch,81.8951
12813,CurrentCompanyType,60.610413
12270,CurrentCompanyType,87.73509
19184,EmpScore,78.26109
13584,LatestDegreeCGPA,83.46518
4339,CurrentCompanyType,54.21421
17914,YearsOfExperince,81.06508
10917,Gender,80.27021
15879,MartialStatus,82.28435
6427,CurrentCompanyType,63.703365
14040,Gender,77.47467
16305,Gender,77.37009
16513,Gender,78.797195
8960,HighestDegree,83.48623
13799,MartialStatus,47.848446
5379,Gender,71.71599
20457,YearsOfExperince,82.59964
18933,Ethinicity,84.139336
19281,CurrentCompanyType,48.966824
10128,Ethinicity,62.070454
18061,Gender,71.00121
2174,CurrentCompanyType,48.79385
18838,DegreeBranch,80.0997
6795,Gender,82.431015
3224,EmpScore,44.730213
10831,DegreeBranch,88.867035
5177,Gender,79.16963
17845,HighestDegree,60.727173
16084,EmpScore,83.93087
10823,HighestDegree,80.2542
22135,Gender,84.7524
14894,EmpScore,46.416355
6721,CurrentCompanyType,43.31396
23929,Gender,84.18735
4683,DegreeBranch,87.60133
21939,DegreeBranch,82.627464
4619,CurrentCompanyType,52.462463
4059,DegreeBranch,80.184
4750,Gender,82.31158
16333,CurrentCompanyType,54.63343
7631,Gender,78.86632
17571,YearsOfExperince,78.0436
13223,DegreeBranch,89.89637
6116,EmpScore,81.13106
14670,EmpScore,86.73604
23632,MartialStatus,55.386345
14677,DegreeBranch,81.83029
19234,YearsOfExperince,74.31737
5523,Gender,81.22903
11495,CurrentCompanyType,60.935097
23168,CurrentCompanyType,54.05533
5302,DegreeBranch,89.98751
7925,HighestDegree,82.88965
11796,CurrentCompanyType,62.349533
22722,CurrentCompanyType,56.277832
11147,DegreeBranch,84.41013
3271,CurrentCompanyType,66.25038
7532,CurrentCompanyType,53.54904
22718,DegreeBranch,79.17582
7002,HighestDegree,92.31506
23799,CurrentCompanyType,58.84069
20117,DegreeBranch,82.00159
8931,DegreeBranch,82.31057
12655,DegreeBranch,88.35328
10456,Gender,69.68247
21352,EmpScore,89.4403
8532,CurrentCompanyType,60.743664
4890,YearsOfExperince,73.075165
22035,DegreeBranch,80.37979
12366,YearsOfExperince,77.26993
24342,Gender,86.66385
9218,Gender,77.557846
2918,DegreeBranch,73.11173
22751,EmpScore,80.18281
9299,DegreeBranch,80.42644
10116,YearsOfExperince,80.054375
19046,CurrentCompanyType,44.542103
5724,CurrentCompanyType,49.792316
17626,Gender,77.203125
10874,MartialStatus,85.514145
17574,Gender,82.33274
12772,YearsOfExperince,76.63179
18545,CurrentCompanyType,53.588123
16172,YearsOfExperince,90.32838
18997,DegreeBranch,83.52076
24142,CurrentCompanyType,63.587032
10818,DegreeBranch,90.4271
14909,DegreeBranch,85.025215
7996,Gender,77.52484
11575,YearsOfExperince,81.444115
7740,LatestDegreeCGPA,82.818855
16074,CurrentCompanyType,57.799046
21831,CurrentCompanyType,59.131958
18339,DegreeBranch,81.142235
8211,CurrentCompanyType,52.67654
23062,DegreeBranch,81.453316
18654,EmpScore,90.531975
16230,YearsOfExperince,70.389114
19747,DegreeBranch,89.51468
11439,DegreeBranch,82.77824
2888,CurrentCompanyType,57.611794
15800,DegreeBranch,80.509285
2676,HighestDegree,89.33175
8530,Gender,81.37718
24046,DegreeBranch,89.12756
7119,EmpScore,95.529396
20691,MartialStatus,74.92865
23702,DegreeBranch,80.359085
4334,Gender,75.31043
19630,Gender,78.850334
19977,CurrentCompanyType,61.272488
11601,DegreeBranch,80.77528
18181,Gender,81.03578
14495,MartialStatus,53.337063
5433,LatestDegreeCGPA,84.17979
2708,MartialStatus,81.919174
19110,Gender,86.274826
8077,Gender,71.57933
6574,DegreeBranch,84.999855
12076,Ethinicity,76.17976
3813,HighestDegree,84.07653
7864,Gender,76.32953
15259,HighestDegree,80.23267
19304,Ethinicity,82.982704
12613,EmpScore,90.23546
6340,CurrentCompanyType,56.040756
13726,DegreeBranch,85.58163
21799,YearsOfExperince,76.55998
18946,CurrentCompanyType,40.216164
22904,CurrentCompanyType,62.5945
12715,CurrentCompanyType,49.939934
5464,HighestDegree,76.6747
2885,EmpScore,95.29629
8175,YearsOfExperince,79.01787
18310,Gender,79.00697
21078,DegreeBranch,83.03406
13869,YearsOfExperince,87.98614
15964,EmpScore,80.8186
21048,DegreeBranch,90.412865
14638,EmpScore,77.545074
21982,Ethinicity,75.398026
5750,DegreeBranch,81.647484
23484,Gender,82.10735
23656,DegreeBranch,83.22041
18479,Gender,69.9739
11695,HighestDegree,85.62671
7842,Gender,75.05518
2092,YearsOfExperince,87.738106
10587,Gender,71.9036
6208,Gender,77.315216
4927,CurrentCompanyType,48.55752
17015,CurrentCompanyType,56.704285
6074,MartialStatus,47.312313
18384,MartialStatus,82.6339
24181,Gender,81.787445
20806,CurrentCompanyType,47.452465
16059,MartialStatus,50.995266
6400,CurrentCompanyType,61.25595
3219,Gender,70.95754
17911,CurrentCompanyType,48.078815
9737,HighestDegree,46.890316
17547,EmpScore,82.560585
22355,YearsOfExperince,80.83433
9500,Gender,78.97974
11509,CurrentCompanyType,36.670094
13707,YearsOfExperince,83.0666
4624,DegreeBranch,90.61017
21760,Gender,75.29141
10948,DegreeBranch,83.09444
23985,Gender,72.66847
10479,HighestDegree,96.18942
19231,DegreeBranch,88.890335
5709,DegreeBranch,81.1434
13431,Gender,78.38272
22981,Gender,80.38177
6933,EmpScore,80.43164
14159,Gender,71.032814
16588,Ethinicity,81.41694
11588,Gender,77.349495
12666,DegreeBranch,94.58331
4953,DegreeBranch,83.37689
11252,EmpScore,87.684814
8297,YearsOfExperince,77.57497
10845,DegreeBranch,86.07395
8944,HighestDegree,89.00211
23139,DegreeBranch,82.713776
19518,MartialStatus,85.48968
12990,CurrentCompanyType,88.33359
14291,DegreeBranch,78.607155
14179,CurrentCompanyType,50.170654
9680,DegreeBranch,88.37902
13664,YearsOfExperince,76.61766
8516,Ethinicity,80.27673
10647,CurrentCompanyType,89.16039
8171,YearsOfExperince,79.10707
17394,Gender,75.57989
17058,HighestDegree,76.91067
6873,DegreeBranch,89.9071
15125,YearsOfExperince,89.340576
6127,MartialStatus,83.136856
21042,MartialStatus,81.62586
16063,CurrentCompanyType,52.794235
4621,YearsOfExperince,75.7039
14416,DegreeBranch,98.93105
18397,YearsOfExperince,78.89128
5120,HighestDegree,85.52513
12551,CurrentCompanyType,57.44143
20025,CurrentCompanyType,53.205044
14404,DegreeBranch,88.66213
18728,DegreeBranch,73.17614
5771,Gender,83.49163
24313,Gender,77.685646
9022,Gender,80.85316
5716,DegreeBranch,81.858215
18757,CurrentCompanyType,49.296246
11829,CurrentCompanyType,51.513405
10398,Gender,82.10875
18508,EmpScore,75.53284
18302,CurrentCompanyType,55.74185
23412,HighestDegree,52.898746
12476,DegreeBranch,81.60524
3485,HighestDegree,56.41455
20115,Gender,78.573814
17304,CurrentCompanyType,47.36455
3347,Gender,84.78535
13474,YearsOfExperince,86.78546
19974,Gender,77.6989
18300,Gender,83.96769
23366,Ethinicity,53.53688
2109,DegreeBranch,79.56658
21959,YearsOfExperince,77.38836
19383,YearsOfExperince,89.5694
24267,YearsOfExperince,60.878464
21887,DegreeBranch,91.418396
12162,HighestDegree,88.90385
12708,CurrentCompanyType,56.36965
21563,Gender,81.59987
16500,DegreeBranch,55.24881
12807,MartialStatus,82.42061
2592,CurrentCompanyType,48.83246
4148,Ethinicity,78.65928
4464,DegreeBranch,54.088627
12988,Gender,84.11014
20303,DegreeBranch,78.39147
11657,DegreeBranch,80.10278
12932,CurrentCompanyType,55.21673
21458,Gender,86.543495
16997,Gender,86.83373
2479,DegreeBranch,83.60561
17759,DegreeBranch,89.92549
3616,CurrentCompanyType,58.803947
4222,DegreeBranch,85.82557
14001,DegreeBranch,90.704834
10286,DegreeBranch,80.65068
12965,YearsOfExperince,75.309166
21357,CurrentCompanyType,56.316162
7914,YearsOfExperince,82.48313
